unique_num,campain_code,customer_code,customer_name,brand_code,brand_name,pro_code,pro_name,encrypt_procode,decrypt_procode,url
0,0_0_0,0,카탈로그,0,카탈로그,0,전시페이지,,,https://skt.sellerd.co.kr/m/event/sktlms/html?referrer=SKT_LMS&id=944&cid=Ts238U-skt001-oq23Mp&aid=0_0_0_[DATE]&mid=TMS&rid=[SEQ]
1,1_1_1,1,동국제약,1,동국제약,1,센텔리안24 프리미엄 콜라겐 3200,MTQ0Njc3Ng,1446776,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ0Njc3Ng&aid=1_1_1_[DATE]&mid=TMS&rid=[SEQ]
39,1_1_2,1,동국제약,1,동국제약,2,1. 센텔리안24 프리미엄 콜라겐 3200,MTQ3MDQ5Nw,1470497,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDQ5Nw&aid=1_1_2_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_1,2,브랜드블루,1,구찌,1,1. 시그니처 카드 케이스,MTQ1NDM1Mg,1454352,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM1Mg&aid=2_1_1_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_2,2,브랜드블루,1,구찌,2,2. 마몬트 가죽 카드 케이스,MTQ1NDM1Ng,1454356,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM1Ng&aid=2_1_2_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_3,2,브랜드블루,1,구찌,3,3. 스트라이프 레더 반지갑,MTQ1NDM0OQ,1454349,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM0OQ&aid=2_1_3_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_4,2,브랜드블루,1,구찌,4,4. 스네이크 프린트 가죽 지갑,MTQ1NDM1MQ,1454351,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM1MQ&aid=2_1_4_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_5,2,브랜드블루,1,구찌,5,5. GG 마몬트 카드 케이스,MTQ1NDM1NQ,1454355,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM1NQ&aid=2_1_5_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_6,2,브랜드블루,1,구찌,6,6. GG 마몬트 가죽 동전 지갑,MTQ1NDM1MA,1454350,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM1MA&aid=2_1_6_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_7,2,브랜드블루,1,구찌,7,7. 에이스 타이거 자수 스니커즈,MTQ1NDM1Nw,1454357,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM1Nw&aid=2_1_7_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_8,2,브랜드블루,1,구찌,8,8. 로고 플랫폼 에스파드류,MTQ1NDM1OQ,1454359,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM1OQ&aid=2_1_8_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_9,2,브랜드블루,1,구찌,9,9. 패드락 GG 수프림 반지갑,MTQ1NDM1NA,1454354,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM1NA&aid=2_1_9_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_10,2,브랜드블루,1,구찌,10,10. 웹 디테일 미드힐 펌프스,MTQ1NDM1OA,1454358,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM1OA&aid=2_1_10_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_11,2,브랜드블루,1,구찌,11,11. 오피디아 지퍼 장지갑,MTQ1NDM1Mw,1454353,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM1Mw&aid=2_1_11_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_12,2,브랜드블루,1,구찌,12,12. GG 수프림 벨트백,MTQ1NDM0NA,1454344,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM0NA&aid=2_1_12_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_13,2,브랜드블루,1,구찌,13,13. GG 수프림 타이거 프린트 클러치,MTQ1NDM0Mw,1454343,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM0Mw&aid=2_1_13_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_14,2,브랜드블루,1,구찌,14,14. GG 마몬트 미니 라운드 숄더백,MTQ1NDM0Nw,1454347,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM0Nw&aid=2_1_14_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_15,2,브랜드블루,1,구찌,15,15. 네오 빈티지 스몰 메신저 백,MTQ1NDM0NQ,1454345,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM0NQ&aid=2_1_15_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_16,2,브랜드블루,1,구찌,16,16. GG 수프림 숄더백,MTQ1NDM0Ng,1454346,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM0Ng&aid=2_1_16_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_17,2,브랜드블루,1,구찌,17,17. 디오니서스 미니 가죽 숄더백,MTQ1NDM0OA,1454348,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM0OA&aid=2_1_17_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_18,2,브랜드블루,1,구찌,18,1. GG 수프림 오피디아 클러치백,MTQ3MDUzMQ,1470531,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUzMQ&aid=2_1_18_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_19,2,브랜드블루,1,구찌,19,2. 오피디아 미니백,MTQ3MDUzMw,1470533,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUzMw&aid=2_1_19_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_20,2,브랜드블루,1,구찌,20,3. GG 수프림 밴드 벨트백,MTQ3MDU0NA,1470544,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU0NA&aid=2_1_20_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_21,2,브랜드블루,1,구찌,21,6. 여성 미드힐 슬라이드,MTQ3MDUzNQ,1470535,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUzNQ&aid=2_1_21_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_22,2,브랜드블루,1,구찌,22,7. GG마몬트 에스파듀 샌들,MTQ3MDUzNw,1470537,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUzNw&aid=2_1_22_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_23,2,브랜드블루,1,구찌,23,8. 에이스 가죽 스니커즈,MTQ3MDUzOQ,1470539,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUzOQ&aid=2_1_23_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_24,2,브랜드블루,1,구찌,24,10. GG수프림 동전 지갑,MTQ3MDU0MA,1470540,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU0MA&aid=2_1_24_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_28,2,브랜드블루,1,구찌,28,11. GG 마몬트 반지갑,MTQ3MDU0MQ,1470541,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU0MQ&aid=2_1_28_[DATE]&mid=TMS&rid=[SEQ]
2,2_1_26,2,브랜드블루,1,구찌,26,12. GG 마몬트 장지갑,MTQ3MDU0Mg,1470542,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU0Mg&aid=2_1_26_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_1,2,브랜드블루,2,Burberry,1,1. 빈티지 체크 가죽 카드 케이스,MTQ1NDM2MA,1454360,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM2MA&aid=2_2_1_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_2,2,브랜드블루,2,Burberry,2,2. 그레이니 가죽 스퀘어 지퍼 반지갑,MTQ1NDM2OQ,1454369,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM2OQ&aid=2_2_2_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_3,2,브랜드블루,2,Burberry,3,3. 빈티지 체크 가죽 지퍼 블랙 장지갑,MTQ1NDM2OA,1454368,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM2OA&aid=2_2_3_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_4,2,브랜드블루,2,Burberry,4,4. 레터링 로고 코튼 클러치백,MTQ1NDM2Nw,1454367,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM2Nw&aid=2_2_4_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_5,2,브랜드블루,2,Burberry,5,5. 자이언트 니트 숄더백,MTQ1NDM2NA,1454364,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM2NA&aid=2_2_5_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_6,2,브랜드블루,2,Burberry,6,6. 투톤 가죽 숄더/크로스백,MTQ1NDM2NQ,1454365,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM2NQ&aid=2_2_6_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_7,2,브랜드블루,2,Burberry,7,7. 빈티지 체크 미디엄 럭색,MTQ1NDM2MQ,1454361,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM2MQ&aid=2_2_7_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_8,2,브랜드블루,2,Burberry,8,8. 빈티지 체크 가죽 배너 스몰,MTQ1NDM2Mw,1454363,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM2Mw&aid=2_2_8_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_9,2,브랜드블루,2,Burberry,9,9. 미디엄 빈티지 체크 가죽 배너 토트백,MTQ1NDM2Ng,1454366,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM2Ng&aid=2_2_9_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_10,2,브랜드블루,2,Burberry,10,10. 스몰 빈티지 체크 D링 숄더백,MTQ1NDM2Mg,1454362,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDM2Mg&aid=2_2_10_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_11,2,브랜드블루,2,Burberry,11,11. 미디엄 가죽 TB백 (8010335),MTQ3MDU3MQ,1470571,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU3MQ&aid=2_2_11_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_12,2,브랜드블루,2,Burberry,12,12. 스몰 가죽 벨트 토트백 (8006577),MTQ3MDU3MA,1470570,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU3MA&aid=2_2_12_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_13,2,브랜드블루,2,Burberry,13,13. 스몰 호스페리 프린트 그레이스백 (8026096),MTQ3MDU2OQ,1470569,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU2OQ&aid=2_2_13_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_14,2,브랜드블루,2,Burberry,14,14. 미디엄 빈티지 체크 범백 (8026557),MTQ3MDU2Nw,1470567,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU2Nw&aid=2_2_14_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_15,2,브랜드블루,2,Burberry,15,15. 디태처블 스트랩 빈티지 체크 미니 숄더백 (8015135),MTQ3MDU2Ng,1470566,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU2Ng&aid=2_2_15_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_16,2,브랜드블루,2,Burberry,16,16. 디태처블 스트랩 빈티지 미니 레드 숄더백 (8015136),MTQ3MDU2NQ,1470565,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU2NQ&aid=2_2_16_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_17,2,브랜드블루,2,Burberry,17,17. 디태처블 스트랩 빈티지 미니 숄더백 (8015350),MTQ3MDU2NA,1470564,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU2NA&aid=2_2_17_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_18,2,브랜드블루,2,Burberry,18,18. 그레이니 TB 체인 카드케이스 (8022436),MTQ3MDU2Mw,1470563,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU2Mw&aid=2_2_18_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_19,2,브랜드블루,2,Burberry,19,19. 빈티지 체크 반지갑(4073137),MTQ3MDU2Mg,1470562,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU2Mg&aid=2_2_19_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_20,2,브랜드블루,2,Burberry,20,20. 빈티지 체크 장지갑 (4077786),MTQ3MDU2MQ,1470561,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU2MQ&aid=2_2_20_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_21,2,브랜드블루,2,Burberry,21,21. 빈티지 체크 가죽 지퍼 카드지갑 (8022562),MTQ3MDU1OA,1470558,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU1OA&aid=2_2_21_[DATE]&mid=TMS&rid=[SEQ]
3,2_2_22,2,브랜드블루,2,Burberry,22,22. 그레이니 가죽 카드 케이스 (8014662),MTQ3MDU1Nw,1470557,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU1Nw&aid=2_2_22_[DATE]&mid=TMS&rid=[SEQ]
4,2_3_1,2,브랜드블루,3,RIMOWA,1,1. Limbo / 882.63.34.5,MTQ0NzMwOQ,1447309,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ0NzMwOQ&aid=2_3_1_[DATE]&mid=TMS&rid=[SEQ]
4,2_3_1,2,브랜드블루,3,RIMOWA,1,2. Limbo / 882.70.34.5,MTQ0NzMwOQ,1447309,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ0NzMwOQ&aid=2_3_1_[DATE]&mid=TMS&rid=[SEQ]
4,2_3_1,2,브랜드블루,3,RIMOWA,1,3. Limbo / 882.73.34.5,MTQ0NzMwOQ,1447309,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ0NzMwOQ&aid=2_3_1_[DATE]&mid=TMS&rid=[SEQ]
47,2_4_1,2,브랜드블루,4,BAO BAO,1,1. 플래티넘 메탈릭 스몰 토트백,MTQ3MDU3OQ,1470579,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU3OQ&aid=2_4_1_[DATE]&mid=TMS&rid=[SEQ]
47,2_4_2,2,브랜드블루,4,BAO BAO,2,2. 플래티넘 실버 라지 토트백,MTQ3MDU4MA,1470580,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU4MA&aid=2_4_2_[DATE]&mid=TMS&rid=[SEQ]
47,2_4_3,2,브랜드블루,4,BAO BAO,3,3. 루센트 크로스백(블랙),MTQ3MDU3Mg,1470572,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU3Mg&aid=2_4_3_[DATE]&mid=TMS&rid=[SEQ]
47,2_4_4,2,브랜드블루,4,BAO BAO,4,4. 루센트 크로스백(화이트),MTQ3MDU3Mw,1470573,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU3Mw&aid=2_4_4_[DATE]&mid=TMS&rid=[SEQ]
47,2_4_5,2,브랜드블루,4,BAO BAO,5,5. 프리즘 토트백,MTQ3MDU3NQ,1470575,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU3NQ&aid=2_4_5_[DATE]&mid=TMS&rid=[SEQ]
47,2_4_6,2,브랜드블루,4,BAO BAO,6,6. 카톤 슬래시 크로스백(화이트),MTQ3MDU3Ng,1470576,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU3Ng&aid=2_4_6_[DATE]&mid=TMS&rid=[SEQ]
47,2_4_7,2,브랜드블루,4,BAO BAO,7,7. 카톤 슬래시 크로스백(블랙),MTQ3MDU3Nw,1470577,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU3Nw&aid=2_4_7_[DATE]&mid=TMS&rid=[SEQ]
47,2_4_8,2,브랜드블루,4,BAO BAO,8,8. 카톤 슬래시 크로스백(실버),MTQ3MDU3OA,1470578,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU3OA&aid=2_4_8_[DATE]&mid=TMS&rid=[SEQ]
5,3_1_1,3,Swarovski,1,Swarovski,1,1. Naughty Necklace Mini(5495292),MTQ1NDgyOQ,1454829,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDgyOQ&aid=3_1_1_[DATE]&mid=TMS&rid=[SEQ]
5,3_1_2,3,Swarovski,1,Swarovski,2,2. Naughty 후프 이어링(5497872),MTQ1NDgzMA,1454830,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDgzMA&aid=3_1_2_[DATE]&mid=TMS&rid=[SEQ]
5,3_1_3,3,Swarovski,1,Swarovski,3,3. Lifelong Heart Necklace(5517951),MTQ1NDgzMg,1454832,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ1NDgzMg&aid=3_1_3_[DATE]&mid=TMS&rid=[SEQ]
5,3_1_4,3,Swarovski,1,Swarovski,4,4. Lifelong Heart 펜던트 (5516542),MTQ3MDU1NA,1470554,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU1NA&aid=3_1_4_[DATE]&mid=TMS&rid=[SEQ]
5,3_1_5,3,Swarovski,1,Swarovski,5,5. Dazzling Swan Necklace (5469989),MTQ3MDU1NQ,1470555,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU1NQ&aid=3_1_5_[DATE]&mid=TMS&rid=[SEQ]
5,3_1_6,3,Swarovski,1,Swarovski,6,6. Swarovski Symbol Pendant (5489534),MTQ3MDU1Ng,1470556,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDU1Ng&aid=3_1_6_[DATE]&mid=TMS&rid=[SEQ]
